################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SNEG_all.txt
#
#
# CREATED: 27-Feb-2019 08:18:50 by sysop@pitondescalumets
# COPYRIGHT: 2019, IPGP
################################################################################
#
year month day hour minute second SNEG-BORG_(cm) SNEG-DERG_(cm) SNEG-DSRG_(cm)
2018 03 29 11 59 00 158721.596682 35986.943834 128092.449072
2018 03 30 11 59 00 158721.573622 35986.947384 128092.467411
2018 03 31 11 59 00 158721.515492 35987.008909 128092.489839
2018 04 01 11 59 00 158721.915080 35986.851555 128093.082076
2018 04 02 11 59 00 158722.007833 35986.965707 128093.434998
2018 04 03 11 59 00 158727.876596 35990.652621 128086.155215
2018 04 04 11 59 00 158728.137248 35991.152263 128086.127702
2018 04 05 11 59 00 158728.522650 35991.566114 128092.719281
2018 04 06 11 59 00 158728.686454 35991.465618 128092.690951
2018 04 07 11 59 00 158728.939709 35991.945113 128093.157858
2018 04 08 11 59 00 158729.561600 35991.854385 128093.876548
2018 04 09 11 59 00 158729.320221 35992.073363 128093.907247
2018 04 10 11 59 00 158729.682389 35992.108104 128094.146051
2018 04 11 11 59 00 158729.955504 35992.293840 128094.280064
2018 04 12 11 59 00 158730.163818 35992.061667 128094.618052
2018 04 13 11 59 00 158730.041104 35992.477929 128094.669564
2018 04 14 11 59 00 158730.364244 35992.340471 128095.139354
2018 04 15 11 59 00 158730.356401 35992.568058 128094.959209
2018 04 16 11 59 00 158730.416940 35992.580775 128095.045393
2018 04 17 11 59 00 158730.824401 35992.460901 128095.135100
2018 04 18 11 59 00 158730.633562 35992.609600 128095.335127
2018 04 19 11 59 00 158730.777223 35992.576216 128095.476793
2018 04 20 11 59 00 158730.999972 35992.567376 128095.298800
2018 04 21 11 59 00 158731.164530 35992.659117 128095.748007
2018 04 22 11 59 00 158731.133825 35992.718198 128095.901851
2018 04 23 11 59 00 158731.289272 35992.833565 128096.140731
2018 04 24 11 59 00 158731.369678 35993.226845 128096.061797
2018 04 25 11 59 00 158731.307021 35993.337371 128095.672124
2018 04 26 11 59 00 158731.706582 35993.354138 128096.367760
2018 04 27 11 59 00 158732.495633 35993.710943 128096.388857
2018 04 28 11 59 00 158731.967138 35993.826768 128094.876451
2018 04 29 11 59 00 158731.641549 35993.763930 128094.561806
2018 04 30 11 59 00 158731.568965 35993.994247 128094.608191
2018 05 01 11 59 00 158731.483461 35993.805500 128094.409233
2018 05 02 11 59 00 158731.433273 35993.893942 128093.909767
2018 05 03 11 59 00 158731.448956 35993.711299 128094.312884
2018 05 04 11 59 00 158731.488630 35993.633573 128094.213497
2018 05 05 11 59 00 158731.458704 35993.623178 128094.129336
2018 05 06 11 59 00 158731.401537 35993.611218 128094.182810
2018 05 07 11 59 00 158731.540360 35993.681920 128094.391018
2018 05 12 11 59 00 158731.693692 35993.660722 128094.375083
2018 05 13 11 59 00 158731.703612 35993.755024 128094.526677
2018 05 14 11 59 00 158731.521190 35993.752462 128094.470455
2018 05 15 11 59 00 158731.816122 35993.806029 128092.946276
2018 05 16 11 59 00 158731.846451 35993.764359 128092.798701
2018 05 17 11 59 00 158731.603847 35993.983506 128092.570615
2018 05 18 11 59 00 158731.559972 35993.834593 128092.514262
2018 05 19 11 59 00 158731.691879 35994.049336 128092.572825
2018 05 20 11 59 00 158731.887282 35993.999465 128092.951430
2018 05 21 11 59 00 158731.855276 35994.050745 128093.041751
2018 05 22 11 59 00 158731.920915 35994.096229 128092.999353
2018 05 23 11 59 00 158731.859463 35994.186061 128092.825779
2018 05 24 11 59 00 158732.079123 35994.154246 128092.842308
2018 05 25 11 59 00 158732.147210 35994.098091 128092.855983
2018 05 26 11 59 00 158732.254588 35994.152692 128093.769938
2018 05 27 11 59 00 158732.140692 35994.194055 128093.919261
2018 05 28 11 59 00 158732.314324 35994.210404 128093.829664
2018 05 29 11 59 00 158732.065279 35994.173131 128093.740389
