################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. FJAG
# FILENAME: BASELINES_FJAG_all.txt
#
#
# CREATED: 10-Apr-2020 08:42:40 by sysop@pitondescalumets
# COPYRIGHT: 2020, (c) OVPF-IPGP
################################################################################
#
year month day hour minute second FJAG-FERG_(cm) FJAG-FOAG_(cm)
2008 10 26 11 59 00 142038.125431 NaN
2008 10 27 11 59 00 142038.220752 NaN
2008 10 28 11 59 00 142038.266547 NaN
2008 10 29 11 59 00 142038.235155 NaN
2008 10 30 11 59 00 142038.229972 NaN
2008 11 01 11 59 00 142038.418331 NaN
2008 11 02 11 59 00 142038.347706 NaN
2008 11 03 11 59 00 142038.288587 NaN
2008 11 04 11 59 00 142038.444910 NaN
2008 11 05 11 59 00 142038.366997 NaN
2008 11 06 11 59 00 142038.450497 NaN
2008 11 07 11 59 00 142038.196214 NaN
2008 11 08 11 59 00 142038.738926 NaN
2008 11 09 11 59 00 142038.164493 NaN
2008 11 10 11 59 00 142038.137320 NaN
2008 11 11 11 59 00 142038.532794 NaN
2008 11 12 11 59 00 142038.302210 NaN
2008 11 13 11 59 00 142038.736470 NaN
2008 11 13 11 59 00 142038.736470 NaN
2008 11 19 11 59 00 142038.770111 NaN
2008 11 20 11 59 00 142038.657513 NaN
2008 11 21 11 59 00 142038.895118 NaN
2008 11 22 11 59 00 142038.707981 NaN
2008 11 23 11 59 00 142038.914882 NaN
2008 11 24 11 59 00 142038.793657 NaN
2008 11 25 11 59 00 142038.902465 NaN
2008 11 26 11 59 00 142038.806721 NaN
2008 11 27 11 59 00 142038.643376 NaN
2008 11 28 11 59 00 142038.834005 NaN
2008 11 29 11 59 00 142038.660924 NaN
2008 11 30 11 59 00 142038.982279 NaN
2008 12 01 11 59 00 142038.725788 NaN
2008 12 02 11 59 00 142038.632490 NaN
2008 12 03 11 59 00 142038.793354 NaN
2008 12 04 11 59 00 142038.940704 NaN
2008 12 05 11 59 00 142039.075429 NaN
2008 12 06 11 59 00 142039.338206 NaN
2008 12 07 11 59 00 142039.560827 NaN
2008 12 08 11 59 00 142039.071504 NaN
2008 12 09 11 59 00 142039.422707 NaN
2008 12 10 11 59 00 142039.269291 NaN
2008 12 11 11 59 00 142039.179808 NaN
2008 12 12 11 59 00 142039.623345 NaN
2008 12 13 11 59 00 142039.091287 NaN
2008 12 19 11 59 00 142038.626364 NaN
2008 12 20 11 59 00 142038.715912 NaN
2008 12 21 11 59 00 142038.887184 NaN
2008 12 22 11 59 00 142039.052177 NaN
2008 12 23 11 59 00 142038.868809 NaN
2008 12 24 11 59 00 142038.608387 NaN
2008 12 25 11 59 00 142038.818758 NaN
2008 12 26 11 59 00 142038.732244 NaN
2008 12 27 11 59 00 142038.550146 NaN
2008 12 28 11 59 00 142038.797321 NaN
2008 12 29 11 59 00 142038.764147 NaN
2008 12 30 11 59 00 142039.298563 NaN
2008 12 31 11 59 00 142039.308315 NaN
2009 01 01 11 59 00 142039.294924 NaN
2009 01 02 11 59 00 142039.118457 NaN
2009 01 03 11 59 00 142038.891299 NaN
2009 01 04 11 59 00 142038.790992 NaN
2009 01 05 11 59 00 142038.716938 NaN
2009 01 06 11 59 00 142039.188015 NaN
