################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.GIPSYX} GNSS GIPSYX PdF OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SNEG_all.txt
#
#
# CREATED: 01-Feb-2024 13:08:01 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS SNEG-BORG_(cm)_gipsyx SNEG-DERG_(cm)_gipsyx SNEG-DSRG_(cm)_gipsyx
2006 08 16 23 55 00 NaN NaN NaN
2006 08 17 23 55 00 NaN NaN NaN
2006 08 18 23 55 00 NaN NaN NaN
2006 08 19 23 55 00 NaN NaN NaN
2006 08 20 23 55 00 NaN NaN NaN
2006 08 21 23 55 00 NaN NaN NaN
2006 08 22 23 55 00 NaN NaN NaN
2006 08 23 23 55 00 NaN NaN NaN
2006 08 24 23 55 00 NaN NaN NaN
2006 08 25 23 55 00 NaN NaN NaN
2006 08 26 23 55 00 NaN NaN NaN
2006 08 27 23 55 00 NaN NaN NaN
2006 08 28 23 55 00 NaN NaN NaN
2006 08 29 23 55 00 NaN NaN NaN
2006 08 30 23 55 00 NaN NaN NaN
2006 08 31 23 55 00 NaN NaN NaN
2006 09 01 23 55 00 NaN NaN NaN
2006 09 02 23 55 00 NaN NaN NaN
2006 09 03 23 55 00 NaN NaN NaN
2006 09 04 23 55 00 NaN NaN NaN
2006 09 05 23 55 00 NaN NaN NaN
2006 09 06 23 55 00 NaN NaN NaN
2006 09 07 23 55 00 NaN NaN NaN
2006 09 08 23 55 00 NaN NaN NaN
2006 09 09 23 55 00 NaN NaN NaN
2006 09 10 23 55 00 NaN NaN NaN
2006 09 11 23 55 00 NaN NaN NaN
2006 09 12 23 55 00 NaN NaN NaN
2006 09 13 23 55 00 NaN NaN NaN
2006 09 14 23 55 00 NaN NaN NaN
2006 09 15 23 55 00 NaN NaN NaN
2006 09 16 23 55 00 NaN NaN NaN
2006 09 17 23 55 00 NaN NaN NaN
2006 09 18 23 55 00 NaN NaN NaN
2006 09 19 23 55 00 NaN NaN NaN
2006 09 20 23 55 00 NaN NaN NaN
2006 09 21 23 55 00 NaN NaN NaN
2006 09 22 23 55 00 NaN NaN NaN
2006 09 23 23 55 00 NaN NaN NaN
2006 09 24 23 55 00 NaN NaN NaN
2006 09 25 23 55 00 NaN NaN NaN
2006 09 26 23 55 00 NaN NaN NaN
2006 09 27 23 55 00 NaN NaN NaN
2006 09 28 23 55 00 NaN NaN NaN
2006 09 29 23 55 00 NaN NaN NaN
2006 09 30 23 55 00 NaN NaN NaN
2006 10 01 23 55 00 NaN NaN NaN
2006 10 02 23 55 00 NaN NaN NaN
