################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. BOMG
# FILENAME: BASELINES_BOMG_all.txt
#
#
# CREATED: 10-Jan-2024 13:34:35 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS BOMG-BORG_(cm) BOMG-DERG_(cm) BOMG-DSRG_(cm) BOMG-SNEG_(cm)
2009 12 05 11 59 00 88050.268668 107959.510790 112018.251578 90437.899617
2009 12 06 11 59 00 88049.883374 107959.514145 112017.756985 90437.857638
2009 12 07 11 59 00 88049.889969 107959.388524 112017.782673 90437.689751
2009 12 08 11 59 00 88049.939518 107959.532438 112017.775961 90437.862910
2009 12 09 11 59 00 88050.124718 107959.029524 112017.845229 90437.996762
2009 12 11 11 59 00 88050.181019 107958.910596 112017.760169 90438.270379
2009 12 12 11 59 00 88050.188229 107958.689065 112017.750017 90438.020281
2009 12 13 11 59 00 88049.969614 107958.399044 112017.394188 90437.989058
2009 12 21 11 59 00 88055.398234 107967.671236 112022.318273 90443.644728
2009 12 22 11 59 00 88055.271812 107967.640929 112022.154323 90443.655603
2009 12 23 11 59 00 88055.167467 107967.675235 112022.254073 90443.871552
2009 12 24 11 59 00 88055.124943 107967.614339 112022.198614 90443.690612
2009 12 25 11 59 00 88055.014350 107967.946478 112022.310616 90443.931867
2009 12 26 11 59 00 88055.097123 107967.622533 112022.259956 90443.486665
2009 12 27 11 59 00 88054.984529 107967.973974 112022.303235 90443.867865
2009 12 28 11 59 00 88055.209891 107968.023484 112022.249884 90443.896866
