date,timestamp,GPS_BOMG-BORG_(cm),GPS_BOMG-DERG_(cm),GPS_BOMG-DSRG_(cm),Earthquakes_per_day,Label
2009-10-13,1642546800,0,0,0,90,
2009-10-14,1642546800,0.060452999998233,0.502894999997807,0.588574000008521,338,2
2009-10-15,1642546800,0.327541999999084,0.676651000001584,0.878206000008504,33,
2009-10-16,1642546800,0.210766999996849,0.703502999996999,0.884835000004387,93,
2009-10-17,1642546800,0.175061000001733,0.646558000007644,0.781288000012864,140,
2009-10-18,1642546800,0.576086000000942,1.78806400000758,1.97189200000139,488,2
2009-10-19,1642546800,2.18689799999993,4.93415400000231,19.1579110000021,10,
2009-10-20,1642546800,1.97911800000293,5.03246299999591,18.3027360000124,9,
2009-10-21,1642546800,2.09107900000527,4.99641799999517,18.3213590000087,12,
2009-10-22,1642546800,2.43782399999327,5.35571800000616,18.5277270000079,18,
2009-10-23,1642546800,2.1910429999989,4.83323899999959,17.9630319999997,18,
2009-10-24,1642546800,1.99473400000716,5.0347780000011,18.0201180000004,31,
2009-10-25,1642546800,1.70617999999376,5.94405700000061,18.2472620000044,22,
2009-10-26,1642546800,2.32706199999666,4.72673700000451,17.6640790000092,16,
2009-10-27,1642546800,1.97129400000267,5.29104100000404,18.0388240000029,27,
2009-10-28,1642546800,1.77731900000072,5.32701700000325,18.0277219999989,38,
2009-10-29,1642546800,2.10881600000721,5.28272000000288,18.1117530000047,164,
2009-10-30,1642546800,2.45639000000665,5.52648200000112,19.1484700000001,158,2
2009-10-31,1642546800,2.54020600000513,5.63129499999923,19.1401259999984,53,
2009-11-01,1642546800,2.54020600000513,5.63129499999923,19.1401259999984,42,
2009-11-02,1642546800,2.54020600000513,5.63129499999923,19.1401259999984,21,
2009-11-03,1642546800,2.54020600000513,5.63129499999923,19.1401259999984,74,
2009-11-04,1642546800,2.47572699999728,6.21551100000215,18.9132730000129,168,
2009-11-05,1642546800,2.47572699999728,6.21551100000215,18.9132730000129,181,1
2009-11-06,1642546800,3.66392200000701,9.26598300000478,33.6334869999992,1,1
2009-11-07,1642546800,3.68401599999925,9.43734899999981,33.336976999999,0,
2009-11-08,1642546800,3.79349799999909,9.54221400000097,33.1674429999985,1,
2009-11-09,1642546800,3.67727299999387,9.18464400000812,33.0212980000069,0,
2009-11-10,1642546800,4.12164899999334,9.37911599999643,33.3307360000035,4,
2009-11-11,1642546800,3.92054599999392,9.40064500000153,32.987432000009,7,
2009-11-12,1642546800,3.90210500000103,9.37059600000794,32.8947049999988,20,
2009-11-13,1642546800,4.02168600000732,9.18746400000236,32.7847410000104,10,
2009-11-14,1642546800,3.94299700000556,9.00591900000291,32.8877990000037,17,
2009-11-15,1642546800,3.78356100000383,9.30777499999385,32.8804030000028,28,
2009-11-16,1642546800,4.07352600000741,9.39221499999985,32.9964620000101,40,
2009-11-17,1642546800,4.13151399999333,9.50633400000515,33.0346730000019,18,
2009-11-18,1642546800,3.80092900000454,9.46284500000184,32.9541610000015,18,
2009-11-19,1642546800,3.74563999999373,9.50446100000409,32.7632790000062,22,
2009-11-20,1642546800,3.98063000000548,9.9479180000053,32.8671290000057,56,
2009-11-21,1642546800,3.87020299999858,9.63411100000667,32.6829270000017,22,
2009-11-22,1642546800,3.85991800000193,9.57767300000705,32.5737870000012,11,
2009-11-23,1642546800,3.99332900000445,9.65598500000488,32.5906810000015,15,
2009-11-24,1642546800,3.99490700000024,9.8399550000031,32.7026069999993,17,
2009-11-25,1642546800,4.03061200000229,9.7979090000008,32.8645140000008,34,
2009-11-26,1642546800,3.71999500000675,9.65809799999988,32.3851710000017,44,
2009-11-27,1642546800,3.88009299999976,9.68098400000599,32.4528340000106,37,
2009-11-28,1642546800,3.84612499999639,9.78885799999989,32.4613220000028,49,
2009-11-29,1642546800,3.88796300000104,9.95291100000031,32.4733190000115,52,
2009-11-30,1642546800,3.84166499999992,9.79641100000299,32.2478830000036,99,
2009-12-01,1642546800,3.89093599999615,9.80089800000133,32.302079000001,41,
2009-12-02,1642546800,3.9270189999952,10.2776270000031,32.5710350000008,32,
2009-12-03,1642546800,3.88474199999473,10.1120059999957,32.3096170000063,24,
2009-12-04,1642546800,3.90178499999456,10.0900910000055,31.9859450000076,13,
2009-12-05,1642546800,4.084314000007,10.0077029999957,32.5830330000026,21,
2009-12-06,1642546800,3.74567200000456,9.79040700000769,32.1576160000113,27,
2009-12-07,1642546800,3.73511399999552,9.75558700000693,32.1679260000092,27,
2009-12-08,1642546800,3.93872999999439,9.81864900000801,32.1528000000108,28,
2009-12-09,1642546800,3.51129199999559,9.363274000003,32.2393700000102,20,
2009-12-10,1642546800,4.03258899999491,9.02264599999762,32.2194020000024,24,
2009-12-11,1642546800,3.94977000000654,9.22994000000472,32.2346400000097,32,
2009-12-12,1642546800,4.25024199999461,9.10184499999741,32.2177090000041,51,
2009-12-13,1642546800,3.88955500000156,8.95968600000197,31.8684760000033,42,
2009-12-14,1642546800,5.55342599999858,10.6760820000054,34.4902020000009,557,1
2009-12-15,1642546800,10.7274259999976,18.3974889999954,40.1547640000063,4,1
2009-12-16,1642546800,10.8499580000062,18.2446049999999,39.5882050000073,6,
2009-12-17,1642546800,10.3674239999964,18.1857380000001,38.9583439999988,4,
2009-12-18,1642546800,10.054489999995,18.1247010000079,38.4858670000103,4,
2009-12-19,1642546800,10.1719659999944,18.2886890000082,38.4147389999998,4,
2009-12-20,1642546800,10.0702790000069,18.0901319999975,38.2009910000052,3,
2009-12-21,1642546800,10.3436939999956,18.050224999999,38.2806750000018,2,
